Date,open,high,low,close
2023-11-24 14:15:00,1149.5,1149.5,1149.5,1149.5
2023-11-24 14:30:00,1148.4,1148.4,1148.4,1148.4
2023-11-24 14:45:00,1148.6,1148.6,1148.6,1148.6
2023-11-24 15:00:00,,,,
2023-11-24 15:15:00,,,,
2023-11-24 15:30:00,,,,
2023-11-24 15:45:00,,,,
2023-11-24 16:00:00,,,,
2023-11-24 16:15:00,,,,
2023-11-24 16:30:00,,,,
2023-11-24 16:45:00,,,,
2023-11-24 17:00:00,,,,
2023-11-24 17:15:00,,,,
2023-11-24 17:30:00,,,,
2023-11-24 17:45:00,,,,
2023-11-24 18:00:00,,,,
2023-11-24 18:15:00,,,,
2023-11-24 18:30:00,,,,
2023-11-24 18:45:00,,,,
2023-11-24 19:00:00,,,,
2023-11-24 19:15:00,1147.2,1147.2,1147.2,1147.2
2023-11-24 19:30:00,1147.7,1147.7,1147.7,1147.7
2023-11-24 19:45:00,1149.3,1149.3,1149.3,1149.3
2023-11-24 20:00:00,1149.2,1149.2,1149.2,1149.2
2023-11-24 20:15:00,,,,
2023-11-24 20:30:00,1147.5,1147.5,1147.5,1147.5
2023-11-24 20:45:00,1147.3,1147.3,1147.3,1147.3
2023-11-24 21:00:00,1148.5,1148.5,1148.5,1148.5
2023-11-24 21:15:00,1147.5,1147.5,1147.5,1147.5
2023-11-24 21:30:00,1148.1,1148.1,1148.1,1148.1
2023-11-24 21:45:00,1148.9,1148.9,1148.9,1148.9
2023-11-24 22:00:00,1148.4,1148.4,1148.4,1148.4
2023-11-24 22:15:00,1147.2,1147.2,1147.2,1147.2
2023-11-24 22:30:00,1149.0,1149.0,1149.0,1149.0
2023-11-24 22:45:00,1148.6,1148.6,1148.6,1148.6
2023-11-24 23:00:00,1148.3,1148.3,1148.3,1148.3
2023-11-24 23:15:00,1147.2,1147.2,1147.2,1147.2
2023-11-24 23:30:00,1146.5,1146.5,1146.5,1146.5
2023-11-24 23:45:00,1148.6,1148.6,1148.6,1148.6
2023-11-25 00:00:00,1147.5,1147.5,1147.5,1147.5
2023-11-25 00:15:00,1147.6,1147.6,1147.6,1147.6
2023-11-25 00:30:00,,,,
2023-11-25 00:45:00,,,,
2023-11-25 01:00:00,,,,
2023-11-25 01:15:00,,,,
2023-11-25 01:30:00,,,,
2023-11-25 01:45:00,,,,
2023-11-25 02:00:00,,,,
2023-11-25 02:15:00,,,,
2023-11-25 02:30:00,,,,
2023-11-25 02:45:00,,,,
2023-11-25 03:00:00,,,,
2023-11-25 03:15:00,,,,
2023-11-25 03:30:00,,,,
2023-11-25 03:45:00,,,,
2023-11-25 04:00:00,,,,
2023-11-25 04:15:00,,,,
2023-11-25 04:30:00,,,,
2023-11-25 04:45:00,,,,
2023-11-25 05:00:00,,,,
2023-11-25 05:15:00,,,,
2023-11-25 05:30:00,,,,
2023-11-25 05:45:00,,,,
2023-11-25 06:00:00,,,,
2023-11-25 06:15:00,,,,
2023-11-25 06:30:00,,,,
2023-11-25 06:45:00,,,,
2023-11-25 07:00:00,,,,
2023-11-25 07:15:00,,,,
2023-11-25 07:30:00,,,,
2023-11-25 07:45:00,,,,
2023-11-25 08:00:00,,,,
2023-11-25 08:15:00,,,,
2023-11-25 08:30:00,,,,
2023-11-25 08:45:00,,,,
2023-11-25 09:00:00,,,,
2023-11-25 09:15:00,,,,
2023-11-25 09:30:00,,,,
2023-11-25 09:45:00,,,,
2023-11-25 10:00:00,,,,
2023-11-25 10:15:00,,,,
2023-11-25 10:30:00,,,,
2023-11-25 10:45:00,1149.2,1149.2,1149.2,1149.2
2023-11-25 11:00:00,1148.6,1148.6,1148.6,1148.6
2023-11-25 11:15:00,1148.1,1148.1,1148.1,1148.1
2023-11-25 11:30:00,1149.2,1149.2,1149.2,1149.2
2023-11-25 11:45:00,1149.9,1149.9,1149.9,1149.9
2023-11-25 12:00:00,1149.6,1149.6,1149.6,1149.6
2023-11-25 12:15:00,,,,
2023-11-25 12:30:00,,,,
2023-11-25 12:45:00,,,,
2023-11-25 13:00:00,,,,
2023-11-25 13:15:00,,,,
2023-11-25 13:30:00,1149.7,1149.7,1149.7,1149.7
2023-11-25 13:45:00,1149.6,1149.6,1149.6,1149.6
2023-11-25 14:00:00,1150.1,1150.1,1150.1,1150.1
2023-11-25 14:15:00,1149.6,1149.6,1149.6,1149.6
2023-11-25 14:30:00,1149.5,1149.5,1149.5,1149.5
2023-11-25 14:45:00,1149.3,1149.3,1149.3,1149.3
2023-11-25 15:00:00,,,,
2023-11-25 15:15:00,,,,
2023-11-25 15:30:00,1149.2,1149.2,1149.2,1149.2
2023-11-25 15:45:00,1149.2,1149.2,1149.2,1149.2
2023-11-25 16:00:00,1149.4,1149.4,1149.4,1149.4
2023-11-25 16:15:00,1149.0,1149.0,1149.0,1149.0
2023-11-25 16:30:00,1149.5,1149.5,1149.5,1149.5
2023-11-25 16:45:00,1150.0,1150.0,1150.0,1150.0
2023-11-25 17:00:00,1149.8,1149.8,1149.8,1149.8
2023-11-25 17:15:00,1149.1,1149.1,1149.1,1149.1
2023-11-25 17:30:00,1150.5,1150.5,1150.5,1150.5
2023-11-25 17:45:00,1149.2,1149.2,1149.2,1149.2
2023-11-25 18:00:00,1149.5,1149.5,1149.5,1149.5
2023-11-25 18:15:00,1149.5,1149.5,1149.5,1149.5
2023-11-25 18:30:00,,,,
2023-11-25 18:45:00,,,,
2023-11-25 19:00:00,1149.3,1149.3,1149.3,1149.3
2023-11-25 19:15:00,,,,
2023-11-25 19:30:00,,,,
2023-11-25 19:45:00,,,,
2023-11-25 20:00:00,1150.2,1150.2,1150.2,1150.2
2023-11-25 20:15:00,1150.4,1150.4,1150.4,1150.4
2023-11-25 20:30:00,1151.4,1151.4,1151.4,1151.4
2023-11-25 20:45:00,1150.7,1150.7,1150.7,1150.7
2023-11-25 21:00:00,1149.7,1149.7,1149.7,1149.7
2023-11-25 21:15:00,1150.4,1150.4,1150.4,1150.4
2023-11-25 21:30:00,1150.2,1150.2,1150.2,1150.2
2023-11-25 21:45:00,1149.4,1149.4,1149.4,1149.4
2023-11-25 22:00:00,1150.0,1150.0,1150.0,1150.0
2023-11-25 22:15:00,1149.5,1149.5,1149.5,1149.5
2023-11-25 22:30:00,1149.1,1149.1,1149.1,1149.1
2023-11-25 22:45:00,,,,
2023-11-25 23:00:00,,,,
2023-11-25 23:15:00,,,,
2023-11-25 23:30:00,,,,
2023-11-25 23:45:00,,,,
2023-11-26 00:00:00,,,,
2023-11-26 00:15:00,,,,
2023-11-26 00:30:00,,,,
2023-11-26 00:45:00,,,,
2023-11-26 01:00:00,,,,
2023-11-26 01:15:00,,,,
2023-11-26 01:30:00,,,,
2023-11-26 01:45:00,,,,
2023-11-26 02:00:00,,,,
2023-11-26 02:15:00,,,,
2023-11-26 02:30:00,,,,
2023-11-26 02:45:00,,,,
2023-11-26 03:00:00,,,,
2023-11-26 03:15:00,,,,
2023-11-26 03:30:00,,,,
2023-11-26 03:45:00,,,,
2023-11-26 04:00:00,,,,
2023-11-26 04:15:00,,,,
2023-11-26 04:30:00,,,,
2023-11-26 04:45:00,,,,
2023-11-26 05:00:00,,,,
2023-11-26 05:15:00,,,,
2023-11-26 05:30:00,,,,
2023-11-26 05:45:00,,,,
2023-11-26 06:00:00,,,,
2023-11-26 06:15:00,,,,
2023-11-26 06:30:00,,,,
2023-11-26 06:45:00,,,,
2023-11-26 07:00:00,,,,
2023-11-26 07:15:00,,,,
2023-11-26 07:30:00,,,,
2023-11-26 07:45:00,,,,
2023-11-26 08:00:00,,,,
2023-11-26 08:15:00,,,,
2023-11-26 08:30:00,,,,
2023-11-26 08:45:00,,,,
2023-11-26 09:00:00,,,,
2023-11-26 09:15:00,,,,
2023-11-26 09:30:00,,,,
2023-11-26 09:45:00,,,,
2023-11-26 10:00:00,,,,
2023-11-26 10:15:00,,,,
2023-11-26 10:30:00,,,,
2023-11-26 10:45:00,,,,
2023-11-26 11:00:00,,,,
2023-11-26 11:15:00,,,,
2023-11-26 11:30:00,,,,
2023-11-26 11:45:00,,,,
2023-11-26 12:00:00,,,,
2023-11-26 12:15:00,,,,
2023-11-26 12:30:00,,,,
2023-11-26 12:45:00,,,,
2023-11-26 13:00:00,,,,
2023-11-26 13:15:00,,,,
2023-11-26 13:30:00,,,,
2023-11-26 13:45:00,,,,
2023-11-26 14:00:00,,,,
2023-11-26 14:15:00,,,,
2023-11-26 14:30:00,,,,
2023-11-26 14:45:00,,,,
2023-11-26 15:00:00,,,,
2023-11-26 15:15:00,,,,
2023-11-26 15:30:00,,,,
2023-11-26 15:45:00,1154.9,1154.9,1154.9,1154.9
2023-11-26 16:00:00,1155.5,1155.5,1155.5,1155.5
2023-11-26 16:15:00,,,,
2023-11-26 16:30:00,,,,
2023-11-26 16:45:00,,,,
2023-11-26 17:00:00,,,,
2023-11-26 17:15:00,,,,
2023-11-26 17:30:00,,,,
2023-11-26 17:45:00,,,,
2023-11-26 18:00:00,,,,
2023-11-26 18:15:00,,,,
2023-11-26 18:30:00,,,,
2023-11-26 18:45:00,,,,
2023-11-26 19:00:00,,,,
2023-11-26 19:15:00,,,,
2023-11-26 19:30:00,,,,
2023-11-26 19:45:00,,,,
2023-11-26 20:00:00,,,,
2023-11-26 20:15:00,1151.8,1151.8,1151.8,1151.8
2023-11-26 20:30:00,1152.5,1152.5,1152.5,1152.5
2023-11-26 20:45:00,1152.0,1152.0,1152.0,1152.0
2023-11-26 21:00:00,1152.0,1152.0,1152.0,1152.0
2023-11-26 21:15:00,1151.9,1151.9,1151.9,1151.9
