Symbol,Price,Date
USDTNGN,1157.40000000,2023-11-30 12:30:11.325504
USDTNGN,1157.40000000,2023-11-30 12:45:20.524464
USDTNGN,1157.40000000,2023-11-30 13:00:18.615732
USDTNGN,1157.40000000,2023-11-30 13:15:12.653009
USDTNGN,1157.40000000,2023-11-30 13:30:11.855873
USDTNGN,1157.40000000,2023-11-30 13:45:16.346930
USDTNGN,1157.40000000,2023-11-30 14:00:24.929112
USDTNGN,1157.40000000,2023-11-30 14:15:26.200631
USDTNGN,1157.40000000,2023-11-30 14:54:41.737926
USDTNGN,1151.90000000,2023-12-03 20:00:10.070898
USDTNGN,1151.50000000,2023-12-04 07:52:13.441320
USDTNGN,1155.80000000,2023-12-04 08:00:09.202071
USDTNGN,1155.10000000,2023-12-04 08:15:10.030429
USDTNGN,1155.10000000,2023-12-04 13:40:20.853705
USDTNGN,1155.10000000,2023-12-04 13:45:07.184523
USDTNGN,1155.10000000,2023-12-04 14:00:10.721579
USDTNGN,1156.90000000,2023-12-04 14:15:13.846335
USDTNGN,1159.50000000,2023-12-04 14:30:07.444412
USDTNGN,1157.30000000,2023-12-04 14:45:15.242436
USDTNGN,1157.30000000,2023-12-04 15:07:03.561617
USDTNGN,1157.30000000,2023-12-04 15:17:09.235847
USDTNGN,1157.50000000,2023-12-04 15:30:17.385839
USDTNGN,1157.50000000,2023-12-04 15:45:27.720165
USDTNGN,1157.50000000,2023-12-04 16:00:09.556459
USDTNGN,1157.00000000,2023-12-04 16:15:10.256725
USDTNGN,1157.00000000,2023-12-04 16:30:08.968286
USDTNGN,1157.00000000,2023-12-04 19:08:25.948071
USDTNGN,1159.80000000,2023-12-04 19:37:04.069902
USDTNGN,1159.20000000,2023-12-04 19:45:11.086611
USDTNGN,1159.80000000,2023-12-04 20:00:15.690650
USDTNGN,1159.20000000,2023-12-04 20:15:15.288258
USDTNGN,1159.10000000,2023-12-04 20:30:11.435608
USDTNGN,1158.80000000,2023-12-04 20:45:15.822466
USDTNGN,1158.00000000,2023-12-04 21:00:13.866581
USDTNGN,1157.40000000,2023-12-04 21:15:11.428407
USDTNGN,1157.60000000,2023-12-04 21:30:17.920263
USDTNGN,1157.50000000,2023-12-04 21:45:10.156111
USDTNGN,1157.60000000,2023-12-04 22:00:12.184111
USDTNGN,1157.60000000,2023-12-04 22:15:17.106855
USDTNGN,1157.60000000,2023-12-05 09:36:17.367649
USDTNGN,1162.50000000,2023-12-05 10:09:07.449332
USDTNGN,1162.50000000,2023-12-05 10:15:13.152883
USDTNGN,1162.00000000,2023-12-05 10:30:11.613811
USDTNGN,1162.10000000,2023-12-05 10:45:08.994866
USDTNGN,1164.50000000,2023-12-05 11:00:09.372052
USDTNGN,1163.30000000,2023-12-05 11:15:13.087314
USDTNGN,1163.70000000,2023-12-05 11:30:14.605835
USDTNGN,1163.70000000,2023-12-05 12:32:09.787910
USDTNGN,1164.70000000,2023-12-05 12:45:16.307397
USDTNGN,1163.80000000,2023-12-05 13:00:14.065837
USDTNGN,1164.10000000,2023-12-05 13:15:11.378048
USDTNGN,1164.50000000,2023-12-05 13:30:11.256784
USDTNGN,1164.50000000,2023-12-05 13:57:56.839982
USDTNGN,1165.20000000,2023-12-05 14:00:06.201619
USDTNGN,1164.20000000,2023-12-05 14:15:13.267100
USDTNGN,1165.50000000,2023-12-05 14:30:06.422441
USDTNGN,1165.20000000,2023-12-05 14:45:09.642722
USDTNGN,1165.20000000,2023-12-05 15:00:07.333467
USDTNGN,1164.20000000,2023-12-05 15:15:09.858954
USDTNGN,1164.40000000,2023-12-05 15:30:11.745379
USDTNGN,1164.40000000,2023-12-05 15:45:06.589061
USDTNGN,1164.40000000,2023-12-05 16:00:08.911088
USDTNGN,1164.80000000,2023-12-05 16:15:08.114283
USDTNGN,1164.80000000,2023-12-05 20:06:59.188871
USDTNGN,1164.20000000,2023-12-05 20:15:10.940965
USDTNGN,1169.80000000,2023-12-06 12:00:06.977919
USDTNGN,1170.60000000,2023-12-06 12:15:07.944146
USDTNGN,1169.00000000,2023-12-06 12:30:09.684750
USDTNGN,1172.80000000,2023-12-06 12:45:06.102473
USDTNGN,1172.10000000,2023-12-06 13:00:06.225518
USDTNGN,1172.20000000,2023-12-06 13:15:06.176715
USDTNGN,1172.20000000,2023-12-06 13:30:12.587792
USDTNGN,1171.10000000,2023-12-06 13:45:09.859832
USDTNGN,1172.40000000,2023-12-06 14:00:07.943332
USDTNGN,1171.70000000,2023-12-06 14:15:10.341344
USDTNGN,1171.90000000,2023-12-06 14:30:13.155248
USDTNGN,1171.10000000,2023-12-06 14:45:10.111725
USDTNGN,1171.90000000,2023-12-06 15:00:09.377862
USDTNGN,1172.90000000,2023-12-06 15:15:11.746986
USDTNGN,1172.90000000,2023-12-06 20:57:15.583032
USDTNGN,1171.90000000,2023-12-06 21:00:07.625125
USDTNGN,1172.10000000,2023-12-06 21:15:11.375526
USDTNGN,1172.60000000,2023-12-06 21:30:08.578276
USDTNGN,1172.40000000,2023-12-06 21:45:12.813103
USDTNGN,1172.90000000,2023-12-06 21:55:35.646903
USDTNGN,1172.70000000,2023-12-06 22:00:13.235035
USDTNGN,1172.10000000,2023-12-06 22:02:58.986255
USDTNGN,1172.60000000,2023-12-06 22:06:59.894895
USDTNGN,1172.60000000,2023-12-06 22:08:27.604034
USDTNGN,1172.50000000,2023-12-06 22:11:39.920217
USDTNGN,1172.50000000,2023-12-06 22:14:56.203778
